CASCADE_ID,HRU_UP_ID,CASCADE_TYPE_UP,UP_ROW,UP_COL,UP_X,UP_Y,HRU_DOWN_ID,CASCADE_TYPE_DOWN,DOWN_ROW,DOWN_COL,DOWN_X,DOWN_Y,CASC_PCT,HRU_STRM_SEG_DOWN,HRU_RCH_DOWN
      1646,      2482,1,        32,        33,   217287.7968750000,  4370354.0000000000,      2483,1,        32,        34,   217377.7968750000,  4370354.0000000000,0.500000000000,         0,         0
      1647,      2483,1,        32,        34,   217377.7968750000,  4370354.0000000000,      2562,1,        33,        34,   217377.7968750000,  4370264.0000000000,0.500000000000,         0,         0
      1648,      2483,1,        32,        34,   217377.7968750000,  4370354.0000000000,      2484,1,        32,        35,   217467.7968750000,  4370354.0000000000,0.500000000000,         0,         0
      1649,      2484,1,        32,        35,   217467.7968750000,  4370354.0000000000,      2563,1,        33,        35,   217467.7968750000,  4370264.0000000000,0.500000000000,         0,         0
      1650,      2484,1,        32,        35,   217467.7968750000,  4370354.0000000000,      2485,1,        32,        36,   217557.7968750000,  4370354.0000000000,0.500000000000,         0,         0
      1651,      2485,1,        32,        36,   217557.7968750000,  4370354.0000000000,      2564,1,        33,        36,   217557.7968750000,  4370264.0000000000,0.500000000000,         0,         0
      1652,      2485,1,        32,        36,   217557.7968750000,  4370354.0000000000,      2486,1,        32,        37,   217647.7968750000,  4370354.0000000000,0.500000000000,         0,         0
      1653,      2486,1,        32,        37,   217647.7968750000,  4370354.0000000000,      2565,1,        33,        37,   217647.7968750000,  4370264.0000000000,0.500000000000,         0,         0
      1654,      2486,1,        32,        37,   217647.7968750000,  4370354.0000000000,      2487,2,        32,        38,   217737.7968750000,  4370354.0000000000,0.500000000000,         0,         0
      1655,      2630,1,        34,        23,   216387.7968750000,  4370174.0000000000,      2631,1,        34,        24,   216477.7968750000,  4370174.0000000000,1.000000000000,         0,         0
      1656,      2678,1,        34,        71,   220707.7968750000,  4370174.0000000000,      2757,1,        35,        71,   220707.7968750000,  4370084.0000000000,0.500000000000,         0,         0
      1657,      2678,1,        34,        71,   220707.7968750000,  4370174.0000000000,      2677,1,        34,        70,   220617.7968750000,  4370174.0000000000,0.500000000000,         0,         0
      1658,      2710,1,        35,        24,   216477.7968750000,  4370084.0000000000,      2631,1,        34,        24,   216477.7968750000,  4370174.0000000000,0.500000000000,         0,         0
      1659,      2710,1,        35,        24,   216477.7968750000,  4370084.0000000000,      2711,1,        35,        25,   216567.7968750000,  4370084.0000000000,0.500000000000,         0,         0
      1660,      2711,1,        35,        25,   216567.7968750000,  4370084.0000000000,      2632,1,        34,        25,   216567.7968750000,  4370174.0000000000,0.500000000000,         0,         0
      1661,      2711,1,        35,        25,   216567.7968750000,  4370084.0000000000,      2712,1,        35,        26,   216657.7968750000,  4370084.0000000000,0.500000000000,         0,         0
      1662,      2750,1,        35,        64,   220077.7968750000,  4370084.0000000000,      2829,1,        36,        64,   220077.7968750000,  4369994.0000000000,0.500000000000,         0,         0
      1663,      2750,1,        35,        64,   220077.7968750000,  4370084.0000000000,      2749,1,        35,        63,   219987.7968750000,  4370084.0000000000,0.500000000000,         0,         0
      1664,      2758,1,        35,        72,   220797.7968750000,  4370084.0000000000,      2837,1,        36,        72,   220797.7968750000,  4369994.0000000000,0.500000000000,         0,         0
      1665,      2758,1,        35,        72,   220797.7968750000,  4370084.0000000000,      2757,1,        35,        71,   220707.7968750000,  4370084.0000000000,0.500000000000,         0,         0
      1666,      2829,1,        36,        64,   220077.7968750000,  4369994.0000000000,      2908,1,        37,        64,   220077.7968750000,  4369904.0000000000,0.500000000000,         0,         0
